id,name,artist,duration_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genres
6y6KjfkOZMCbzwOPKKDwi0,Just Another Girl,The Killers,262000,False,0,0.544,0.785,1,-4.54,1,0.0274,0.000107,0.0155,0.152,0.143,136.969,4,"dance rock,modern rock,permanent wave,rock"
3285RNj9TGVvWlP8tYojDH,Here With Me,The Killers,292320,False,60,0.5,0.731,10,-4.535,1,0.0312,0.192,0.00045,0.158,0.112,135.97,4,"dance rock,modern rock,permanent wave,rock"
1XsS266JiQtoqqLdlgD17V,Miss Atomic Bomb,The Killers,293506,False,59,0.56,0.734,10,-7.094,1,0.0317,0.0273,2.12e-05,0.253,0.332,132.953,4,"dance rock,modern rock,permanent wave,rock"
5mhUPDWQH3s544WCsa0r9w,Human,The Killers,245360,False,1,0.547,0.837,10,-7.085,1,0.0676,0.00112,0.000624,0.0937,0.568,135.47,4,"dance rock,modern rock,permanent wave,rock"
6zbnpAx9RH1W0dS4JEqdpc,Spaceman,The Killers,284546,False,0,0.526,0.924,4,-4.073,1,0.0536,0.00237,0.0012,0.129,0.802,152.034,4,"dance rock,modern rock,permanent wave,rock"
5ZQ7VIzPivvIB1z4Eu8WFH,Romeo And Juliet - Live From Abbey Road / 2006,The Killers,328640,False,0,0.561,0.399,9,-8.458,1,0.0278,0.387,7.04e-06,0.202,0.347,83.655,4,"dance rock,modern rock,permanent wave,rock"
6UgYYp4LmZ5oqigdrlaxkn,All The Pretty Faces,The Killers,285813,False,0,0.426,0.981,7,-3.958,0,0.0736,0.0034,0.0633,0.101,0.211,137.493,4,"dance rock,modern rock,permanent wave,rock"
3iyjOwyySLRDEW2tqP7MhX,Read My Mind,The Killers,246840,False,0,0.543,0.917,1,-3.391,1,0.0444,0.00572,7.76e-05,0.104,0.329,132.246,4,"dance rock,modern rock,permanent wave,rock"
3gNGi2iUGHXGpBQHce6Nua,When You Were Young,The Killers,220426,False,0,0.467,0.988,11,-3.313,1,0.112,0.000152,0.0484,0.28,0.321,130.435,4,"dance rock,modern rock,permanent wave,rock"
3haN0f2YjW4waIiN38X33J,All These Things That I've Done,The Killers,301573,False,0,0.554,0.73,6,-6.236,1,0.0418,0.00158,1.85e-05,0.117,0.204,118.24,4,"dance rock,modern rock,permanent wave,rock"
1lDWb6b6ieDQ2xT7ewTC3G,Somebody Told Me,The Killers,197160,False,0,0.51,0.981,10,-3.191,0,0.0901,7.76e-05,0.00142,0.111,0.723,138.039,4,"dance rock,modern rock,permanent wave,rock"
0eGsygTp906u18L0Oimnem,Mr. Brightside,The Killers,222075,False,0,0.351,0.928,1,-3.71,1,0.0759,0.00113,0.0,0.0988,0.239,148.03,4,"dance rock,modern rock,permanent wave,rock"
7HGTkn2aX7MNdKs7nV2xBt,Somebody Told Me,The Killers,197160,False,69,0.509,0.987,10,-3.198,0,0.0886,8.05e-05,0.000928,0.119,0.647,138.039,4,"dance rock,modern rock,permanent wave,rock"
1CA6nEpwJvpraGPVXV6kg0,Lose Your Head,London Grammar,199996,False,62,0.556,0.712,6,-7.261,1,0.0604,0.376,0.185,0.201,0.467,98.008,4,"metropopolis,nottingham indie"
4hevTIy9B4g2ebKwYMrq6T,Baby It's You,London Grammar,242239,False,62,0.508,0.827,2,-8.612,1,0.0357,0.085,0.0134,0.0572,0.14,118.009,4,"metropopolis,nottingham indie"
