"","id","genres","danceability","energy","speechiness","acousticness","instrumentalness","valence","tempo"
"110","6j3rLEA8KSsWUNoXvA37Mq","atl hip hop,hip hop,pop rap,rap",0.501,0.763,0.284,0.0724,0,0.28,0.707926313596196
"111","20j7B6mL9gnNvG3ic6Vwh5","alternative rock,dance-punk,garage rock,garage rock revival,indie rock,modern rock,new rave,rock,swedish garage rock,swedish hard rock,swedish indie rock",0.459,0.931,0.0612,0.00126,0.00881,0.419,0.548879138119109
"112","7xB3hSztVbX6xFvQqEGKud","argentine rock,latin alternative,latin rock,rock en espanol,rock uruguayo",0.687,0.851,0.0409,0.0977,0,0.637,0.298459351138021
"113","7f2ARhXdl9AbzkgG8HcAbw","argentine rock,latin alternative,latin rock,rock en espanol,rock uruguayo",0.642,0.908,0.0539,0.0318,0,0.29,0.402738114206572
"114","3v1ipH6EVDlmnTK6tjdgvK","argentine rock,latin alternative,latin rock,rock en espanol,rock uruguayo",0.64,0.823,0.153,0.12,0,0.612,0.333506967851058
"115","4nheObMzE4K8AIxIICoLgd","cantautor,rock en espanol,spanish new wave,spanish pop",0.625,0.476,0.0268,0.187,0.000433,0.135,0.412249200259839
"116","4EeqLpCaIOU9jKQlpkHINH","czech rock,french indie pop,nouvelle chanson francaise",0.618,0.297,0.0354,0.926,0.002,0.317,0.250156271065953
"117","4eZPjR0dLEYvH5Ku26rnLi","art pop,chamber pop,lilith,permanent wave,piano rock,pop rock,singer-songwriter",0.783,0.464,0.143,0.858,1.37e-05,0.812,0.314000661853926
"118","3CCwFADNM9hPfH7RmrWPjW","baroque pop,chamber pop,freak folk,indie folk,singer-songwriter",0.675,0.499,0.0271,0.83,0.000241,0.434,0.298600301511233
"119","6WzAjOZfTwFBtyX7apVMUN","baroque pop,chamber pop,freak folk,indie folk,singer-songwriter",0.579,0.463,0.0303,0.585,0,0.447,0.482393459902683
"120","5GbVzc6Ex5LYlLJqzRQhuy","baroque pop,chamber pop,freak folk,indie folk,singer-songwriter",0.365,0.273,0.038,0.94,0.431,0.238,0.527178908921546
"121","6bZBHeQVOVGLvAwnQKb6rC","baroque pop,chamber pop,freak folk,indie folk,singer-songwriter",0.564,0.166,0.0327,0.979,0.282,0.252,0.274111706234909
"122","4xBQ0WoND9v2bhhNUejsjp","gypsy jazz",0.528,0.437,0.0579,0.47,0.802,0.345,0.531566755322409
